Domino: progression
F Pentomino: progression
F' Pentomino: progression
Ghost Piece: useful
Hold Slot: useful
I Pentomino: progression
I Tetromino: progression
I Tromino: progression
J Pentomino: progression
J Tetromino: progression
L Pentomino: progression
L Tetromino: progression
L Tromino: progression
Monomino: progression
N Pentomino: progression
N' Pentomino: progression
Next Piece Slot: useful
O Tetromino: progression
P Pentomino: progression
Q Pentomino: progression
Rotate Clockwise: progression
Rotate Counterclockwise: progression
S Pentomino: progression
S Tetromino: progression
Soft Drop: useful
T Pentomino: progression
T Tetromino: progression
U Pentomino: progression
V Pentomino: progression
W Pentomino: progression
X Pentomino: progression
Y Pentomino: progression
Y' Pentomino: progression
Z Pentomino: progression
Z Tetromino: progression
