Dust of Ages: filler
Forgotten Bookmark: filler
Library Token: filler
Magical Polish: filler
Progressive Assemble: useful
Progressive Auto-Shelving: useful
Progressive Insight: useful
Progressive Series Unlock: progression
Progressive Shelf Guide: useful
Progressive Shelf Unlock (1A): progression
Progressive Shelf Unlock (1B): progression
Progressive Shelf Unlock (1C): progression
Progressive Shelf Unlock (1D): progression
Progressive Shelf Unlock (1E): progression
Progressive Shelf Unlock (1F): progression
Progressive Shelf Unlock (1G): progression
Progressive Shelf Unlock (1H): progression
Progressive Shelf Unlock (1I): progression
Progressive Shelf Unlock (1J): progression
Progressive Shelf Unlock (1K): progression
Progressive Shelf Unlock (1L): progression
Progressive Shelf Unlock (1M): progression
Progressive Shelf Unlock (1N): progression
Progressive Shelf Unlock (2A): progression
Progressive Shelf Unlock (2B): progression
Progressive Shelf Unlock (2C): progression
Progressive Shelf Unlock (2D): progression
Progressive Shelf Unlock (2E): progression
Progressive Shelf Unlock (2F): progression
Progressive Shelf Unlock (2G): progression
Progressive Shelf Unlock (2H): progression
Progressive Shelf Unlock (2I): progression
Progressive Shelf Unlock (2J): progression
Progressive Shelf Unlock (2K): progression
Progressive Shelf Unlock (2L): progression
Progressive Shelf Unlock (2M): progression
Progressive Shelf Unlock (2N): progression
Progressive Shelf Unlock (2O): progression
Progressive Shelf Unlock (2P): progression
Progressive Shelf Unlock (2Q): progression
Progressive Sort: progression
Whisper of Lore: filler
