Nothing: filler
ProgressiveSword: unknown
SpawnShovelChest: unknown
SpawnBoomerang: unknown
SpawnMapChest: unknown
SpawnCompassChest: useful
SpawnWhistleChest: unknown
SpawnBurgerChest: progression
SpawnDarkstoneChest: unknown
SpawnHookChest: unknown
SpawnFishingRodChest: unknown
SpawnLavaTrinketChest: unknown
SpawnMrHugsChest: unknown
SpawnBombsChest: unknown
SpawnShieldChest: unknown
SpawnNukeItem: unknown
SpawnPrincessItem: progression
SpawnAnvilItem: progression
SpawnStrawberry: unknown
UnlockShopCannon: unknown
UnlockCastleToShopCannon: unknown
UnlockDarkCastleCannon: unknown
UnlockCastleToDarkCastleCannon: unknown
UnlockGeyserDesert1: unknown
UnlockGeyserDesert2: progression
UnlockGeyserVolcanoe: unknown
UnlockGeyserWaterfall: unknown
UnlockElevatorButton: unknown
UnlockCallElevatorButtons: progression
UnlockMirrorPortal: unknown
UnlockFairyPortal: unknown
GrowVine: progression
OpenCastleFloor: progression
UnlockFacePlantStone: progression
OpenSewerPipe: unknown
DarkstoneLeverLeft: unknown
DarkstoneLeverMiddle: unknown
DarkstoneLeverRight: unknown
SpawnDragon: progression
SpawnShopkeeper: unknown
SpawnMimic: progression
SpawnKing: progression
GrowChicken: unknown
SpawnElder: unknown
SpawnBoulderNPC: unknown
EnableCloset: unknown
BuildStatue: unknown
AddPC: unknown
SpawnDolphins: unknown
SpawnMimicPet: unknown
Gem: unknown
