Checkmark: unknown
Filler: filler
Puzzle 1: progression
Puzzle 10: progression
Puzzle 100: progression
Puzzle 1000: progression
Puzzle 1001: progression
Puzzle 1002: progression
Puzzle 1003: progression
Puzzle 1004: progression
Puzzle 1005: progression
Puzzle 1006: progression
Puzzle 1007: progression
Puzzle 1008: progression
Puzzle 1009: progression
Puzzle 101: progression
Puzzle 1010: progression
Puzzle 1011: progression
Puzzle 1012: progression
Puzzle 1013: progression
Puzzle 1014: progression
Puzzle 1015: progression
Puzzle 1016: progression
Puzzle 1017: progression
Puzzle 1018: progression
Puzzle 1019: progression
Puzzle 102: progression
Puzzle 1020: progression
Puzzle 1021: unknown
Puzzle 1022: unknown
Puzzle 1023: unknown
Puzzle 1024: unknown
Puzzle 1025: unknown
Puzzle 1026: unknown
Puzzle 1027: unknown
Puzzle 1028: unknown
Puzzle 1029: unknown
Puzzle 103: unknown
Puzzle 1030: unknown
Puzzle 1031: unknown
Puzzle 1032: unknown
Puzzle 1033: unknown
Puzzle 1034: unknown
Puzzle 1035: unknown
Puzzle 1036: unknown
Puzzle 1037: unknown
Puzzle 1038: unknown
Puzzle 1039: unknown
Puzzle 104: unknown
Puzzle 1040: unknown
Puzzle 1041: unknown
Puzzle 1042: unknown
Puzzle 1043: unknown
Puzzle 1044: unknown
Puzzle 1045: unknown
Puzzle 1046: unknown
Puzzle 1047: unknown
Puzzle 1048: unknown
Puzzle 1049: unknown
Puzzle 105: unknown
Puzzle 1050: unknown
Puzzle 1051: unknown
Puzzle 1052: unknown
Puzzle 1053: unknown
Puzzle 1054: unknown
Puzzle 1055: unknown
Puzzle 1056: unknown
Puzzle 1057: unknown
Puzzle 1058: unknown
Puzzle 1059: unknown
Puzzle 106: unknown
Puzzle 1060: unknown
Puzzle 1061: unknown
Puzzle 1062: unknown
Puzzle 1063: unknown
Puzzle 1064: unknown
Puzzle 1065: unknown
Puzzle 1066: unknown
Puzzle 1067: unknown
Puzzle 1068: unknown
Puzzle 1069: unknown
Puzzle 107: unknown
Puzzle 1070: unknown
Puzzle 1071: unknown
Puzzle 1072: unknown
Puzzle 1073: unknown
Puzzle 1074: unknown
Puzzle 1075: unknown
Puzzle 1076: unknown
Puzzle 1077: unknown
Puzzle 1078: unknown
Puzzle 1079: unknown
Puzzle 108: unknown
Puzzle 1080: unknown
Puzzle 1081: unknown
Puzzle 1082: unknown
Puzzle 1083: unknown
Puzzle 1084: unknown
Puzzle 1085: unknown
Puzzle 1086: unknown
Puzzle 1087: unknown
Puzzle 1088: unknown
Puzzle 1089: unknown
Puzzle 109: progression
Puzzle 1090: unknown
Puzzle 1091: unknown
Puzzle 1092: unknown
Puzzle 1093: unknown
Puzzle 1094: unknown
Puzzle 1095: unknown
Puzzle 1096: unknown
Puzzle 1097: unknown
Puzzle 1098: unknown
Puzzle 1099: unknown
Puzzle 11: unknown
Puzzle 110: progression
Puzzle 1100: unknown
Puzzle 1101: unknown
Puzzle 1102: unknown
Puzzle 1103: unknown
Puzzle 1104: unknown
Puzzle 1105: unknown
Puzzle 1106: unknown
Puzzle 1107: unknown
Puzzle 1108: unknown
Puzzle 1109: unknown
Puzzle 111: unknown
Puzzle 1110: unknown
Puzzle 1111: unknown
Puzzle 1112: unknown
Puzzle 1113: unknown
Puzzle 1114: unknown
Puzzle 1115: unknown
Puzzle 1116: unknown
Puzzle 1117: unknown
Puzzle 1118: unknown
Puzzle 1119: unknown
Puzzle 112: unknown
Puzzle 1120: unknown
Puzzle 1121: unknown
Puzzle 1122: unknown
Puzzle 1123: unknown
Puzzle 1124: unknown
Puzzle 1125: unknown
Puzzle 1126: unknown
Puzzle 1127: unknown
Puzzle 1128: unknown
Puzzle 1129: unknown
Puzzle 113: progression
Puzzle 1130: unknown
Puzzle 1131: unknown
Puzzle 1132: unknown
Puzzle 1133: unknown
Puzzle 1134: unknown
Puzzle 1135: unknown
Puzzle 1136: unknown
Puzzle 1137: unknown
Puzzle 1138: unknown
Puzzle 1139: unknown
Puzzle 114: unknown
Puzzle 1140: unknown
Puzzle 1141: unknown
Puzzle 1142: unknown
Puzzle 1143: unknown
Puzzle 1144: unknown
Puzzle 1145: unknown
Puzzle 1146: unknown
Puzzle 1147: unknown
Puzzle 1148: unknown
Puzzle 1149: unknown
Puzzle 115: unknown
Puzzle 1150: unknown
Puzzle 1151: unknown
Puzzle 1152: unknown
Puzzle 1153: unknown
Puzzle 1154: unknown
Puzzle 1155: unknown
Puzzle 1156: unknown
Puzzle 1157: unknown
Puzzle 1158: unknown
Puzzle 1159: unknown
Puzzle 116: unknown
Puzzle 1160: unknown
Puzzle 1161: unknown
Puzzle 1162: unknown
Puzzle 1163: unknown
Puzzle 1164: unknown
Puzzle 1165: unknown
Puzzle 1166: unknown
Puzzle 1167: unknown
Puzzle 1168: unknown
Puzzle 1169: unknown
Puzzle 117: progression
Puzzle 1170: unknown
Puzzle 1171: unknown
Puzzle 1172: unknown
Puzzle 1173: unknown
Puzzle 1174: unknown
Puzzle 1175: unknown
Puzzle 1176: unknown
Puzzle 1177: unknown
Puzzle 1178: unknown
Puzzle 1179: unknown
Puzzle 118: unknown
Puzzle 1180: unknown
Puzzle 1181: unknown
Puzzle 1182: unknown
Puzzle 1183: unknown
Puzzle 1184: unknown
Puzzle 1185: unknown
Puzzle 1186: unknown
Puzzle 1187: unknown
Puzzle 1188: unknown
