Get-Rich-Quick Scroll: filler
Give me that: filler
Handfull of Order: filler
Handfull of Unrest: trap
Let's trade!: unknown
Look! What's that?: trap
Make Love, Not War: trap
Orb of Domination: mcguffin
Progressive brt_allied_outpost: progression
Progressive brt_barracks: unknown
Progressive brt_carpenter: unknown
Progressive brt_industry_extra: unknown
Progressive brt_port: unknown
Progressive brt_resource_dyes: unknown
Progressive brt_resource_gemstones: unknown
Progressive brt_resource_gold: unknown
Progressive brt_resource_marble: unknown
Progressive brt_resource_pastures: progression
Progressive brt_resource_pottery: unknown
Progressive brt_resource_spices: unknown
Progressive brt_settlement_major: unknown
Progressive brt_settlement_minor: unknown
Progressive brt_stables: unknown
Progressive brt_tavern: unknown
Progressive brt_walls: unknown
Progressive emp_art: unknown
Progressive emp_cav: unknown
Progressive emp_farm_basic: unknown
Progressive emp_forges: unknown
Progressive emp_inf: unknown
Progressive emp_resource_dyes: unknown
Progressive emp_resource_ivory: unknown
Progressive emp_resource_pastures: unknown
Progressive emp_resource_salt: unknown
Progressive emp_resource_wine: unknown
Progressive emp_settlement_major: unknown
Progressive emp_settlement_minor: unknown
Progressive emp_stables: unknown
Progressive emp_tavern: unknown
Progressive emp_veh: unknown
Progressive emp_walls: unknown
Progressive foreign_slot_discovery_brt: unknown
Progressive foreign_slot_discovery_grn: unknown
Progressive foreign_slot_discovery_ksl: unknown
Progressive grn_allied_outpost: unknown
Progressive grn_art: unknown
Progressive grn_boars: unknown
Progressive grn_boss: unknown
Progressive grn_cav: unknown
Progressive grn_farm: unknown
Progressive grn_forest_beasts: unknown
Progressive grn_garrison: unknown
Progressive grn_garrison_2: unknown
Progressive grn_goblins: unknown
Progressive grn_industry: unknown
Progressive grn_inf: progression
Progressive grn_military: unknown
Progressive grn_mon: unknown
Progressive grn_monsters: unknown
Progressive grn_port: unknown
Progressive grn_raiders: unknown
Progressive grn_resource_gems: unknown
Progressive grn_resource_gold: unknown
Progressive grn_settlement_major: unknown
Progressive grn_settlement_major_2: unknown
Progressive grn_settlement_major_3: unknown
Progressive grn_settlement_major_4: unknown
Progressive grn_settlement_major_5: unknown
Progressive grn_settlement_minor: unknown
Progressive grn_settlement_minor_2: unknown
Progressive grn_settlement_minor_3: unknown
Progressive grn_shaman: unknown
Progressive grn_squigs: unknown
Progressive grn_veh: unknown
Progressive grn_walls: unknown
Progressive grn_walls_2: unknown
Progressive grn_walls_3: unknown
Progressive grn_workshop: unknown
Progressive huntmarshall_veh: unknown
Progressive ksl_allied_outpost: unknown
Progressive ksl_artillery: unknown
Progressive ksl_barracks: unknown
Progressive ksl_bears: unknown
Progressive ksl_bears_1: unknown
Progressive ksl_bears_mother_ostankya: unknown
Progressive ksl_cavalry: unknown
Progressive ksl_city_build_growth: unknown
Progressive ksl_city_court: unknown
Progressive ksl_city_court_3: unknown
Progressive ksl_city_gold: unknown
Progressive ksl_city_recruit_growth_xp: unknown
Progressive ksl_city_temple: unknown
Progressive ksl_city_temple_3: unknown
Progressive ksl_city_town_watch: unknown
Progressive ksl_city_walls: unknown
Progressive ksl_corruption_land: unknown
Progressive ksl_court: unknown
Progressive ksl_erengrad_city: unknown
Progressive ksl_gold: unknown
Progressive ksl_growth_recruit_cost: unknown
Progressive ksl_growth_xp: unknown
Progressive ksl_kislev_city: unknown
Progressive ksl_port: unknown
Progressive ksl_praag_city: unknown
Progressive ksl_resource_animals: unknown
Progressive ksl_resource_dyes: unknown
Progressive ksl_resource_furs: unknown
Progressive ksl_resource_gems: unknown
Progressive ksl_resource_gold: unknown
Progressive ksl_resource_iron: unknown
Progressive ksl_resource_ivory: unknown
Progressive ksl_resource_marble: unknown
Progressive ksl_resource_medicine: unknown
Progressive ksl_resource_obsidian: unknown
Progressive ksl_resource_pasture: unknown
Progressive ksl_resource_pottery: unknown
Progressive ksl_resource_salt: unknown
Progressive ksl_resource_spices: unknown
Progressive ksl_resource_wine: unknown
Progressive ksl_resource_wood: unknown
Progressive ksl_settlement_major: unknown
Progressive ksl_settlement_minor: unknown
Progressive ksl_stables: unknown
Progressive ksl_trade_order: unknown
Progressive ksl_walls_major: unknown
Progressive ksl_walls_minor: unknown
Progressive ksl_woods: unknown
Progressive special_empire_fort_emp: unknown
Progressive special_ksl_erengrad_1: unknown
Progressive special_ksl_erengrad_2: unknown
Progressive special_ksl_erengrad_3: unknown
Progressive special_ksl_kislev_1: unknown
Progressive special_ksl_kislev_2: unknown
Progressive special_ksl_kislev_3: unknown
Progressive special_ksl_kislev_4: unknown
Progressive special_ksl_praag_1: unknown
Progressive special_ksl_praag_2: unknown
Progressive special_ksl_praag_3: unknown
Progressive special_settlement_massif_orcal_brt: unknown
Progressive special_settlement_massif_orcal_grn: unknown
Progressive special_settlement_sartosa_emp: unknown
Progressive tech_ksl: unknown
Schizophrenia!: trap
Sphere of Influence: progression
Spoiler Alert!: trap
The GroBro 3000™: filler
Torches and Pitchforks!: trap
Unionize This!: trap
Where is our Map?: unknown
You too, Brutus?: trap
tech_dlc16_wef_ancients_cypress: unknown
tech_dlc16_wef_ancients_oak: unknown
tech_dlc16_wef_ancients_yew: unknown
tech_grn_end_1_1: unknown
tech_grn_end_1_2: unknown
tech_grn_end_1_3: unknown
tech_grn_end_2_1: unknown
tech_grn_end_2_2: unknown
tech_grn_end_2_3: unknown
