ArmorBonus: filler
ArmorBrick: filler
ArmorDiamond: filler
ArmorWood: filler
Automap (E1A4): unknown
Automap (E1A8): unknown
Automap (E1M1): useful
Automap (E1M2): useful
Automap (E1M3): useful
Automap (E1M4): useful
Automap (E1M5): useful
Automap (E1M6): useful
Automap (E1M7): useful
Automap (E1M8): useful
Automap (E1M9): useful
Automap (E2A6): unknown
Automap (E2M1): useful
Automap (E2M2): useful
Automap (E2M3): useful
Automap (E2M4): useful
Automap (E2M5): useful
Automap (E2M6): useful
Automap (E2M7): useful
Automap (E2M8): useful
Automap (E2M9): useful
Automap (E3M1): useful
Automap (E3M2): useful
Automap (E3M3): useful
Automap (E3M4): useful
Automap (E3M5): useful
Automap (E3M6): useful
Automap (E3M7): useful
Automap (E3M8): useful
Automap (E3M9): useful
Automap (E4M1): useful
Automap (E4M2): useful
Automap (E4M3): useful
Automap (E4M4): useful
Automap (E4M5): useful
Automap (E4M6): useful
Automap (E4M7): useful
Automap (E4M8): useful
Automap (E4M9): useful
Automap (E5M1): useful
Automap (E5M2): useful
Automap (E5M3): useful
Automap (E5M4): useful
Automap (E5M5): useful
Automap (E5M6): useful
Automap (E5M7): useful
Automap (E5M8): useful
Automap (E5M9): useful
Automap (MAP01): useful
Automap (MAP02): useful
Automap (MAP03): useful
Automap (MAP04): useful
Automap (MAP05): useful
Automap (MAP06): useful
Automap (MAP07): useful
Automap (MAP08): useful
Automap (MAP09): useful
Automap (MAP10): useful
Automap (MAP11): useful
Automap (MAP12): useful
Automap (MAP13): useful
Automap (MAP14): useful
Automap (MAP15): useful
Automap (MAP16): useful
Automap (MAP17): useful
Automap (MAP18): useful
Automap (MAP19): useful
Automap (MAP20): useful
Automap (MAP21): useful
Automap (MAP22): useful
Automap (MAP23): useful
Automap (MAP24): useful
Automap (MAP25): useful
Automap (MAP26): useful
Automap (MAP27): useful
Automap (MAP28): useful
Automap (MAP29): useful
Automap (MAP30): useful
Automap (MAP31): useful
Automap (MAP32): useful
BFG 9000: progression
Backpack: filler
